Mean main effect,Mean total effect
1.064924914202881878e-01,1.063034191157679886e-01
3.505936098207462770e-01,3.513380664530895148e-01
3.040771733849149255e-03,9.036317038720520153e-03
1.106261005697286165e-01,1.161146205923473812e-01
2.215841889108369211e-01,2.282503198389463361e-01
1.926422172151754930e-01,1.987845088453552567e-01
