Mean main effect,Mean total effect
9.061259662382024557e-03,2.453953073101956123e-02
6.735641748774567894e-02,8.856525070593582183e-02
8.579165897900084548e-02,1.168071561660618540e-01
2.214728385996645940e-02,2.539180670349488328e-02
6.050273739051107436e-01,6.740084332572098269e-01
1.435093512004368965e-01,1.560997124745174269e-01
