bl_qv,bl_z,delta_theta,delta_qv,n_a,baut
8.020774585016777536e+00,4.862040363003622474e+02,1.928126083540689706e+01,-2.360341994786949726e+00,1.126501498659668528e+02,-2.126615897051160164e+00
1.098517006586497757e+01,7.527500000000002274e+02,1.379409257480227780e+01,-6.211668196097066996e+00,1.972413131840171161e+02,-2.172698030787080015e+00
7.861248717171835487e+00,5.347987392945051397e+02,3.462896622300945637e+00,-5.919498232915472613e+00,7.853560638103496672e+01,-1.958330357576999914e+00
8.538438654644515680e+00,6.867377359393055940e+02,5.015136179674527739e+00,-2.353705745205539657e+00,7.122229856090788758e+01,-1.729057766229000093e+00
8.825245580603528595e+00,5.728266919215591315e+02,4.930711348784541315e+00,-7.276633418431730504e+00,4.222781808639089149e+02,-1.405815439016830037e+00
7.854313359660613614e+00,6.977489948874991796e+02,7.850937705103433473e+00,-1.808183399034954952e+00,4.727782242828379253e+02,-2.099835801223819853e+00
8.398612565606958569e+00,5.035644895929905260e+02,1.633762695272992005e+01,-2.032393291363242760e+00,3.127966087441280933e+02,-1.373462287190510001e+00
1.110754417602428035e+01,1.275250000000000000e+03,4.169318600887834236e+00,-4.841100741274048325e+00,3.983063046328219770e+01,-1.366611996826099906e+00
1.008276945767579313e+01,5.611684119244330304e+02,1.724268297971866559e+01,-6.654861471945683782e+00,4.039929414887149051e+02,-1.385208196910409972e+00
7.699297901158399959e+00,1.176250000000000000e+03,6.051552141936326734e+00,-1.802337852502812865e+00,2.550087054521466001e+01,-2.198981797747430189e+00
9.096020153167721389e+00,1.016750000000000000e+03,1.714541456982391310e+01,-5.830610981356260325e+00,4.293189800345307958e+02,-1.340926136423600035e+00
8.039664656546060328e+00,8.242500000000000000e+02,2.873785425232483703e+00,-6.473777101032927916e+00,4.742315899884339956e+02,-1.314981809605179963e+00
9.897684614406694337e+00,8.902500000000000000e+02,1.863075154896711183e+01,-4.438616467380206210e+00,1.149775860495202693e+02,-1.812011304501250031e+00
8.953491278080726090e+00,7.582500000000000000e+02,1.315856264643218765e+01,-3.111304816887612290e+00,3.545698099233364928e+02,-1.471771080493680106e+00
9.352483327013386472e+00,9.892500000000000000e+02,4.876955915419330267e+00,-4.330380590994090895e+00,1.923596986494122518e+02,-1.996639354504740060e+00
9.470599176664496355e+00,7.417500000001217586e+02,1.390279702527823247e+01,-4.005547613952283648e+00,2.810750039371383195e+02,-1.585458899154670087e+00
9.382344257926737541e+00,9.947500000000000000e+02,1.119656893127347530e+01,-3.263609400340262923e+00,1.846100496846317185e+02,-1.874415303821699963e+00
1.104251483672684309e+01,1.049750000000000000e+03,6.456350819987335399e+00,-4.240796272608871931e+00,2.475170107201205099e+02,-1.430037823323240032e+00
8.800664337176636209e+00,7.307500000004743015e+02,9.123683519041378531e+00,-3.781256548856969602e+00,2.747261013627477837e+02,-1.640533597748329964e+00
1.132821668617133248e+01,1.049750000000000000e+03,9.889165222278222700e+00,-5.264918522976888227e+00,3.780163168920287262e+02,-1.523976103859999931e+00
